X,CH1,CH2,
475,5.20e-01,8.00e-02,
476,7.12e-01,8.00e-02,
477,3.52e-01,0.00e+00,
478,5.44e-01,8.00e-02,
479,4.88e-01,0.00e+00,
480,2.56e-01,8.00e-02,
481,7.04e-01,0.00e+00,
482,4.88e-01,8.00e-02,
483,5.20e-01,0.00e+00,
484,4.88e-01,0.00e+00,
485,5.28e-01,8.00e-02,
486,4.88e-01,0.00e+00,
487,5.28e-01,8.00e-02,
488,4.88e-01,6.00e-02,
489,5.20e-01,0.00e+00,
490,4.88e-01,0.00e+00,
491,5.20e-01,8.00e-02,
492,4.88e-01,0.00e+00,
493,5.20e-01,8.00e-02,
494,4.88e-01,0.00e+00,
495,5.20e-01,8.00e-02,
496,4.88e-01,0.00e+00,
497,5.20e-01,8.00e-02,
498,4.88e-01,0.00e+00,
499,5.28e-01,8.00e-02,
500,4.88e-01,0.00e+00,
501,5.28e-01,8.00e-02,
502,4.88e-01,0.00e+00,
503,5.20e-01,8.00e-02,
504,4.88e-01,0.00e+00,
505,5.28e-01,8.00e-02,
506,4.88e-01,0.00e+00,
507,5.28e-01,8.00e-02,
508,7.20e-01,0.00e+00,
509,3.52e-01,8.00e-02,
510,4.64e-01,0.00e+00,
511,5.44e-01,8.00e-02,
512,2.88e-01,0.00e+00,
513,6.96e-01,8.00e-02,
514,5.60e-02,0.00e+00,
515,7.84e-01,2.56e+00,
516,7.20e-02,2.56e+00,
517,7.76e-01,2.48e+00,
518,7.76e-01,2.54e+00,
519,6.40e-02,2.48e+00,
520,4.08e-01,2.54e+00,
521,5.76e-01,2.48e+00,
522,4.16e-01,2.54e+00,
523,5.76e-01,1.84e+00,
524,6.88e-01,-2.00e-02,
525,3.28e-01,6.00e-02,
526,3.76e-01,8.00e-02,
527,7.04e-01,0.00e+00,
528,2.72e-01,0.00e+00,
529,6.32e-01,8.00e-02,
530,4.16e-01,0.00e+00,
531,5.60e-01,8.00e-02,
532,5.52e-01,0.00e+00,
533,4.64e-01,8.00e-02,
534,4.56e-01,8.00e-02,
535,5.52e-01,0.00e+00,
536,5.60e-01,0.00e+00,
537,4.48e-01,8.00e-02,
538,4.08e-01,8.00e-02,
539,5.76e-01,0.00e+00,
540,4.16e-01,8.00e-02,
541,5.76e-01,0.00e+00,
542,5.52e-01,2.00e-02,
543,4.64e-01,8.00e-02,
544,5.44e-01,0.00e+00,
545,4.56e-01,8.00e-02,
546,5.84e-01,0.00e+00,
547,4.40e-01,8.00e-02,
548,7.68e-01,0.00e+00,
549,8.80e-02,2.56e+00,
550,4.80e-01,2.48e+00,
551,5.44e-01,2.54e+00,
552,5.36e-01,1.28e+00,
553,4.72e-01,-2.00e-02,
554,4.88e-01,8.00e-02,
555,5.36e-01,0.00e+00,
556,5.28e-01,8.00e-02,
557,4.88e-01,0.00e+00,
558,4.88e-01,6.00e-02,
559,5.28e-01,0.00e+00,
560,5.20e-01,8.00e-02,
561,4.88e-01,0.00e+00,
562,4.88e-01,0.00e+00,
563,5.28e-01,8.00e-02,
564,4.88e-01,0.00e+00,
565,5.20e-01,8.00e-02,
566,5.20e-01,0.00e+00,
567,4.88e-01,8.00e-02,
568,4.88e-01,0.00e+00,
569,5.20e-01,8.00e-02,
570,4.88e-01,0.00e+00,
571,5.20e-01,8.00e-02,
572,5.60e-01,0.00e+00,
573,4.48e-01,8.00e-02,
574,4.80e-01,0.00e+00,
575,5.36e-01,8.00e-02,
576,7.60e-01,0.00e+00,
577,6.40e-02,2.56e+00,
578,5.20e-01,2.54e+00,
579,4.88e-01,2.00e-02,
580,4.88e-01,-2.00e-02,
581,5.28e-01,8.00e-02,
582,4.88e-01,0.00e+00,
583,5.20e-01,8.00e-02,
584,5.20e-01,8.00e-02,
585,4.88e-01,0.00e+00,
586,4.88e-01,0.00e+00,
587,5.20e-01,8.00e-02,
588,4.88e-01,0.00e+00,
589,5.20e-01,8.00e-02,
590,5.20e-01,0.00e+00,
591,4.88e-01,8.00e-02,
592,4.88e-01,8.00e-02,
593,5.20e-01,0.00e+00,
594,4.88e-01,0.00e+00,
595,5.20e-01,8.00e-02,
596,4.88e-01,8.00e-02,
597,5.20e-01,0.00e+00,
598,5.20e-01,8.00e-02,
599,4.88e-01,0.00e+00,
600,5.20e-01,0.00e+00,
601,4.88e-01,8.00e-02,
602,5.20e-01,8.00e-02,
603,4.88e-01,0.00e+00,
604,7.04e-01,0.00e+00,
605,3.52e-01,8.00e-02,
606,5.28e-01,8.00e-02,
607,4.88e-01,0.00e+00,
608,2.64e-01,0.00e+00,
609,6.96e-01,8.00e-02,
610,5.20e-01,8.00e-02,
611,4.88e-01,0.00e+00,
612,4.88e-01,8.00e-02,
613,5.36e-01,0.00e+00,
614,5.20e-01,0.00e+00,
615,4.88e-01,8.00e-02,
616,5.20e-01,0.00e+00,
617,4.88e-01,8.00e-02,
618,4.88e-01,8.00e-02,
619,5.28e-01,0.00e+00,
620,5.20e-01,0.00e+00,
621,4.88e-01,8.00e-02,
622,5.20e-01,8.00e-02,
623,4.88e-01,0.00e+00,
624,4.88e-01,0.00e+00,
625,5.28e-01,8.00e-02,
626,4.88e-01,8.00e-02,
627,5.28e-01,0.00e+00,
628,5.20e-01,0.00e+00,
629,4.88e-01,8.00e-02,
630,5.20e-01,0.00e+00,
631,4.88e-01,8.00e-02,
632,5.20e-01,0.00e+00,
633,4.88e-01,8.00e-02,
634,5.28e-01,8.00e-02,
635,4.88e-01,0.00e+00,
636,7.12e-01,8.00e-02,
637,3.52e-01,0.00e+00,
638,5.44e-01,0.00e+00,
639,4.88e-01,8.00e-02,
640,2.56e-01,0.00e+00,
641,6.96e-01,8.00e-02,
642,4.88e-01,8.00e-02,
643,5.20e-01,0.00e+00,
644,4.88e-01,8.00e-02,
645,5.28e-01,0.00e+00,
646,4.88e-01,8.00e-02,
647,5.20e-01,0.00e+00,
648,4.88e-01,8.00e-02,
649,5.20e-01,0.00e+00,
650,4.88e-01,6.00e-02,
651,5.20e-01,0.00e+00,
652,4.88e-01,0.00e+00,
653,5.20e-01,8.00e-02,
654,4.88e-01,8.00e-02,
655,5.20e-01,0.00e+00,
656,4.88e-01,0.00e+00,
657,5.20e-01,8.00e-02,
658,4.88e-01,0.00e+00,
659,5.20e-01,8.00e-02,
660,5.20e-01,0.00e+00,
661,4.88e-01,8.00e-02,
662,4.88e-01,0.00e+00,
663,5.20e-01,8.00e-02,
664,4.88e-01,0.00e+00,
665,5.20e-01,8.00e-02,
666,4.88e-01,8.00e-02,
667,5.20e-01,0.00e+00,
668,6.48e-01,8.00e-02,
669,3.52e-01,0.00e+00,
670,5.36e-01,0.00e+00,
671,4.88e-01,8.00e-02,
672,2.96e-01,8.00e-02,
673,6.96e-01,0.00e+00,
674,5.20e-01,0.00e+00,
675,4.88e-01,8.00e-02,
676,4.88e-01,0.00e+00,
677,5.28e-01,8.00e-02,
678,5.20e-01,8.00e-02,
679,4.88e-01,0.00e+00,
680,5.20e-01,8.00e-02,
